year,SF_12_10,SF_12_20,SF_12_30,SF_12_40,SF_12_50,SF_12_60,SF_12_70,SF_12_80,SF_12_90,SF_12_100,SF_12_110,SF_12_120,SF_12_130
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.07262505478088264,0.12284055636061134,0.1723213999514163,0.21300342986663914,0.22363880647718354,0.26258032535508463,0.3172778470035356,0.3595607521877006,0.3419579153172434,0.35884498894990025,0.40875191043133646,0.4111635211323756,0.4055143021515372
2022,0.13225157786646988,0.20110289887309618,0.29790916037255966,0.3749200236129498,0.4281570719039107,0.5198791266487252,0.5768433112994564,0.6351110443304536,0.6670793766880769,0.705234027155654,0.79795282297717,0.8299427246114953,0.8861640954230537
2023,0.15167856872253233,0.2583285650748423,0.39540306120222224,0.4919120381766034,0.6003530133914514,0.7080592806295724,0.7930521243858064,0.8828358835173802,0.9422802462293973,1.0187830419228592,1.1187436863455091,1.1682994413973142,1.2525743204641342
2024,0.17478713104775714,0.3215933486448958,0.48714310724049803,0.6149838952012346,0.7445337771699218,0.889598376431903,1.001064479031311,1.1042613337175167,1.1919421689464058,1.2892083261106242,1.3883633487278022,1.458635162473759,1.5546608709820202
2025,0.19188190112533468,0.3817698852347248,0.5708239448742907,0.719997729558874,0.8757029905930989,1.037310971540056,1.1612334479924098,1.2995628171370066,1.3885724276937337,1.491256001668749,1.5945188765625624,1.669710486856845,1.7620320440630917
2026,0.20880965021082495,0.4229225994583448,0.6364458867315159,0.8020642651993241,0.9776435525996741,1.1477824433399733,1.2839091515200736,1.422123423193712,1.524530279196258,1.632673738985119,1.7366565111902228,1.8136141790748308,1.907940253846178
2027,0.21526682911661751,0.4501291662416021,0.6783092785235442,0.8599225708381616,1.0468328318292361,1.224017073939436,1.3714409886015617,1.5092844431661843,1.6173393936677893,1.7238584699408543,1.8331399465462845,1.907413912805735,1.9910189727321816
2028,0.22544276960517606,0.4620359167467963,0.6975283914089022,0.8921649756425925,1.0829570140282057,1.2639846179337164,1.4154670602319812,1.547537213130179,1.6702818515181383,1.7773823902243562,1.887910565044059,1.960038572589341,2.0444051995598573
2029,0.2388990253749058,0.470846190527922,0.7172935277267547,0.923569037577015,1.1137951730222408,1.2948292310676106,1.449767224288482,1.5864460313379398,1.7019026095435412,1.808664943575313,1.9105130070156329,1.981549100022236,2.0549310660968194
2030,0.24724017865615758,0.47533107836229294,0.7151053301393554,0.9279233081495559,1.1203802134278307,1.3029892482378482,1.4707387927314217,1.6069774066821612,1.7284162958898295,1.8399858208380742,1.938496235297691,2.0102800534816576,2.086411990740578
2031,0.2462364007348569,0.479917859686578,0.7169500457157515,0.9292243141426478,1.1230505975514384,1.302569767185636,1.4730823548973297,1.6091204005705633,1.729654355247153,1.837720084195492,1.9311779719516857,1.9994811489824431,2.071346533156657
2032,0.23394159537933631,0.46910394122445936,0.702200866945185,0.9164584074876533,1.1161006056628695,1.2929423300091174,1.4526766300543443,1.5847941784625872,1.706337220514613,1.812599157922845,1.8994814427016171,1.971221580603853,2.0450805760288104
2033,0.22700286860339602,0.4510233945326903,0.6825422271612561,0.9023939364396659,1.0943383426505209,1.2592715564482102,1.4220197452678633,1.5492883972526417,1.6638600568800408,1.7713266287474878,1.856655451727213,1.9304178182225682,1.9960619564519408
2034,0.20991561479683413,0.4294202840633738,0.6630215170209073,0.875754964157576,1.068594909402982,1.234771608447143,1.391087509453947,1.5184771990778707,1.626639181947212,1.7331836314799312,1.8131145803874054,1.8837338998879603,1.9456967414454132
2035,0.1958940710641231,0.40262559187063496,0.636306820228258,0.8329516758647642,1.026051913660644,1.183562263553142,1.3356809319255811,1.464705991779101,1.5721888769024344,1.6703090216881504,1.748751352902467,1.8216836194983441,1.883081660656299
