year,prop_10,prop_20,prop_30,prop_40,prop_50,prop_60,prop_70,prop_80,prop_90,prop_100,prop_110,prop_120,prop_130
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.003077571678604437,0.002901694878867384,0.0029857223532848975,0.003132365725609811,0.0028596568737735244,0.003227098575666485,0.0027264866254626957,0.0026962069593796465,0.002783318448197368,0.0030842604755604804,0.0031408188740743984,0.002896160868558372,0.0027441885961538657
2022,0.003991728997691893,0.003314294662086073,0.0033234942857827397,0.003550740615615217,0.0035445378265656696,0.0030972639844798694,0.0031637971670232536,0.0034206318898988798,0.003402377688262416,0.0030707218659789424,0.003717405699784824,0.0032723894257530883,0.0033094140459858984
2023,0.0034452582062718964,0.003679217697725293,0.004094565885026443,0.0036632021970763934,0.0034201565562272476,0.00356288046986784,0.0036793218357711434,0.004163399054813364,0.003767022524441519,0.003969242395769039,0.0035579285482546063,0.003889473060683002,0.003624828749213437
2024,0.0038795449287161326,0.004156925358478127,0.004027370776882264,0.003987678266892445,0.004257633802623481,0.004145015618501922,0.0038695431154946976,0.004207046443782652,0.0035611891701748345,0.004054853365716038,0.003891132044408368,0.00372441796435559,0.004203766814731568
2025,0.004275339585737904,0.004276685933450736,0.004597593166618401,0.0042693744483218625,0.004446193397286101,0.00483768021729264,0.0042009180088707024,0.0042528994081768145,0.0036980973442398697,0.00415566873859074,0.0043686148761592075,0.004631996116171835,0.004563674101140265
2026,0.004617369056964942,0.00412137523991978,0.004737837093293262,0.004516487744359329,0.005104239639433055,0.004528639034918584,0.004634618620897615,0.004465598634998728,0.004630556617223832,0.004114842579646789,0.004570824806241503,0.004535415397031101,0.004037437848831262
2027,0.004191795376240002,0.004955202344713312,0.004917982057972624,0.004969140205084517,0.005207565857029404,0.004769835117341606,0.00499339836653566,0.00470437404336781,0.004844366794162001,0.0053587092920322245,0.004855802066309201,0.004863922718711047,0.004550154329319775
2028,0.004428757761596014,0.004776500013399055,0.004433260424586232,0.004596081830822006,0.004768927518566066,0.0044493115768841855,0.004066111482077305,0.00503553582379866,0.004485765894739899,0.0045237293759051184,0.0043664281766950235,0.004574160073361527,0.004620568938613659
2029,0.005069751370807003,0.005164102797806643,0.005212237388779682,0.005437481052485919,0.004493261488200868,0.005626019133037214,0.005522636840286864,0.005872172963217402,0.005012334685241037,0.0052233129421852265,0.005085030178609654,0.005416897756968037,0.004751929680609571
2030,0.005244553101517741,0.004871601172167818,0.005184716657357059,0.005220119945432887,0.004831722352524171,0.004337243472270538,0.005042503794089284,0.005380579744194127,0.005331855908266935,0.005252269408317744,0.004429544994537584,0.004786384750423051,0.004988197297502468
2031,0.005790263478828848,0.005347159668198163,0.005289248855866529,0.0050765266436914825,0.004957069275998889,0.005061956819857844,0.005218582615527345,0.00499449607567411,0.005237439031740821,0.005890362867629036,0.005277281088360247,0.005310639648414635,0.005292633912460942
2032,0.005520358690886858,0.005235362084425233,0.005958595521227856,0.00555530069005449,0.005587430805076138,0.005263894022824831,0.004779657484267896,0.0052424017500311716,0.005085820801991706,0.005348432325950235,0.004707419145936408,0.005541745823720184,0.005465254217611668
2033,0.005289038648946012,0.0056717530929724785,0.00535282688148026,0.0056241546227610885,0.006030680762326939,0.004878638874480938,0.00498040665432613,0.005329872522768171,0.005372501493150421,0.005494258643176793,0.005173151138944303,0.004922045461946676,0.0056647198374275036
2034,0.0058458031204170315,0.005535051493857942,0.005777899874653571,0.00575138997917929,0.005682004594459496,0.005116448316668001,0.005602101098316231,0.00496411963392406,0.005802150480768348,0.0051433739343750935,0.004995009671754146,0.00536223312946314,0.00503894840926127
2035,0.005456538635305089,0.00535027815809729,0.006040784774173522,0.0049885860856774,0.0052168865178770125,0.005133042203613787,0.0052469556352067155,0.0054292162710511465,0.005585710443573067,0.005369750147553054,0.005503822697433849,0.005272503611134337,0.005188768321358198
